SalespersonID,SalespersonName,DealershipID,SalesTeam,PerformanceTier,PerformanceWeight,SalesInfluenceWeight
SP001,Michael King,D001,Retail,Average Performer,0.9806355972921695,1.127730936885995
SP002,James Brown,D001,Retail,Top Performer,1.2710370523662167,1.4616926102211492
SP003,Alex Walker,D001,Retail,Developing,0.7872791835187486,0.9053710610465608
SP004,David Baker,D001,Retail,Average Performer,1.00642891633793,1.1573932537886196
SP005,Daniel Brooks,D001,Retail,Average Performer,0.9801491054656895,1.1271714712855427
SP006,Ryan Clark,D001,Retail,Average Performer,0.9309411887397375,1.070582367050698
SP007,Michael Taylor,D001,Commercial,Strong Performer,1.189347052480036,1.3677491103520414
SP008,Sophia Walker,D001,Fleet,Top Performer,1.3718363192626166,1.577611767152009
SP009,Ryan Brooks,D002,Retail,Strong Performer,1.1633466645608566,1.337848664244985
SP010,Daniel Morgan,D002,Retail,Strong Performer,1.064191952918696,1.2238207458565005
SP011,Daniel Morgan,D002,Retail,Strong Performer,1.1474151832315702,1.3195274607163057
SP012,Mia Taylor,D002,Retail,Strong Performer,1.1059723333097025,1.2718681833061578
SP013,Andrew King,D002,Retail,Strong Performer,1.1431216476918167,1.314589894845589
SP014,Emma Hall,D002,Retail,Average Performer,0.9087960540894506,1.0451154622028682
SP015,James Scott,D002,Commercial,Developing,0.7667461660461741,0.8817580909531001
SP016,Emily Wilson,D002,Fleet,Developing,0.7687490606923787,0.8840614197962354
SP017,Matthew King,D003,Retail,Average Performer,0.9906852984439424,1.1392880932105336
SP018,Emily Hall,D003,Retail,Developing,0.7989120635257633,0.9187488730546277
SP019,James Baker,D003,Retail,Top Performer,1.2489243965835968,1.4362630560711362
SP020,Sarah Clark,D003,Retail,Top Performer,1.3614747398529075,1.5656959508308435
SP021,Olivia Walker,D003,Retail,Average Performer,0.905158642428111,1.0409324387923276
SP022,David Taylor,D003,Retail,Strong Performer,1.1051264839105284,1.2708954564971076
SP023,Alex Morgan,D003,Commercial,Developing,0.8527154530978357,0.980622771062511
SP024,Lily Hall,D003,Fleet,Strong Performer,1.1789840081876384,1.355831609415784
SP025,Daniel Taylor,D004,Retail,Average Performer,0.9309530225681153,1.0705959759533326
SP026,Sophia Brown,D004,Retail,Average Performer,0.9554622889710053,1.098781632316656
SP027,Ryan Morgan,D004,Retail,Strong Performer,1.181859433288961,1.359138348282305
SP028,Chloe King,D004,Retail,Top Performer,1.387532654440764,1.5956625526068784
SP029,Michael Adams,D004,Retail,Strong Performer,1.1201916700614059,1.2882204205706167
SP030,Thomas Adams,D004,Retail,Average Performer,0.9092625084793032,1.0456518847511986
SP031,James Chen,D004,Commercial,Average Performer,0.9508168622716553,1.0934393916124034
SP032,Thomas Scott,D004,Fleet,Strong Performer,1.1355500081344398,1.3058825093546058
SP033,Thomas Chen,D005,Retail,Average Performer,0.9206583255199956,1.0587570743479948
SP034,Ryan Morgan,D005,Retail,Average Performer,0.9202810810920399,1.0583232432558458
SP035,William Chen,D005,Retail,Strong Performer,1.1365935011150898,1.307082526282353
SP036,Chloe Martin,D005,Retail,Average Performer,1.04885088374026,1.2061785163012988
SP037,Emily Lewis,D005,Retail,Developing,0.8548697479257916,0.9831002101146603
SP038,Thomas Martin,D005,Retail,Top Performer,1.3638999076658351,1.5684848938157103
SP039,Ryan Adams,D005,Commercial,Average Performer,1.020722114208411,1.1738304313396726
SP040,David Wright,D005,Fleet,Average Performer,0.9061710860933949,1.042096749007404
SP041,Alex Brown,D006,Retail,Top Performer,1.3292291143386668,1.5286134814894667
SP042,Olivia Wright,D006,Retail,Developing,0.7041833903943402,0.8098108989534911
SP043,Lily Carter,D006,Retail,Average Performer,0.9234197849208301,1.0619327526589546
SP044,Daniel Baker,D006,Retail,Strong Performer,1.1531643241850136,1.3261389728127655
SP045,Lily Brown,D006,Retail,Average Performer,0.9642342191598953,1.1088693520338795
SP046,James Green,D006,Retail,Developing,0.7264048032327454,0.8353655237176572
SP047,David Green,D006,Commercial,Strong Performer,1.1391549579389457,1.3100282016297875
SP048,Emma Brooks,D006,Fleet,Developing,0.7900294474296825,0.9085338645441348
SP049,Ava Wright,D007,Retail,Top Performer,1.3112032016551511,1.5078836819034236
SP050,Lily Scott,D007,Retail,Top Performer,1.3526986195317579,1.5556034124615215
SP051,Alex Wright,D007,Retail,Strong Performer,1.133978317617249,1.3040750652598363
SP052,Chloe Wilson,D007,Retail,Developing,0.7119717401418804,0.8187675011631623
SP053,Michael Brown,D007,Retail,Top Performer,1.4310579289914673,1.6457166183401872
SP054,Ava Wright,D007,Retail,Top Performer,1.3501557531163362,1.5526791160837865
SP055,Lily Morgan,D007,Commercial,Top Performer,1.378726840164691,1.5855358661893946
SP056,David Scott,D007,Fleet,Strong Performer,1.083869086225087,1.24644944915885
SP057,Olivia Anderson,D008,Retail,Average Performer,0.9298753902852708,1.0693566988280614
SP058,Daniel Wright,D008,Retail,Average Performer,1.0084212855827583,1.159684478420172
SP059,Daniel Green,D008,Retail,Strong Performer,1.1830342128620441,1.3604893447913506
SP060,Mia Green,D008,Retail,Average Performer,0.9976272633925627,1.147271352901447
SP061,Michael Carter,D008,Retail,Strong Performer,1.1874443225789746,1.3655609709658207
SP062,Emily Morgan,D008,Retail,Average Performer,0.9260163413671675,1.0649187925722425
SP063,Ava Adams,D008,Commercial,Average Performer,0.9932980397876967,1.1422927457558512
